cliente_id,segmento,zona_operativa,canal_preferido,antiguedad_meses,compras_90d,ticket_promedio,reclamos_180d,costo_contacto,valor_cliente_12m,abandono_30d
1,Premium,Centro,Digital,36,9,,1,1.80,4824.03,0
2,Inicial,Norte,Digital,78,3,60.76,0,1.80,709.01,0
3,Premium,Sur,Sucursal,1,9,120.87,0,8.50,3002.11,0
4,Frecuente,Centro,Digital,45,6,37.38,0,1.80,919.01,0
5,Frecuente,Centro,Sucursal,81,3,39.64,0,8.50,275.83,0
6,Inicial,Norte,Telefónico,49,0,39.04,1,4.20,20.00,0
7,Frecuente,Centro,Sucursal,22,4,68.17,0,8.50,1256.00,0
8,Frecuente,Centro,Digital,5,6,80.24,0,1.80,1142.01,0
9,Premium,Sur,Digital,64,5,167.46,0,1.80,2378.95,0
10,Premium,Remota,Telefónico,52,9,81.55,2,4.20,1878.61,0
11,Inicial,Norte,Sucursal,55,0,31.53,0,8.50,20.00,0
12,Premium,Centro,Sucursal,69,7,135.23,0,8.50,2919.70,0
13,Inicial,Sur,Telefónico,23,1,44.45,0,4.20,156.46,0
14,Inicial,Centro,Sucursal,63,0,99.80,0,8.50,20.00,0
15,Inicial,Norte,Telefónico,11,3,59.19,1,4.20,744.26,1
16,Premium,Norte,Digital,78,10,120.34,0,1.80,4334.69,0
17,Frecuente,Remota,Telefónico,84,2,108.75,0,4.20,514.69,0
18,Premium,Norte,Digital,81,9,143.36,0,1.80,2943.89,0
19,Frecuente,Remota,Digital,17,5,23.04,0,1.80,395.09,0
20,Premium,Remota,Digital,53,8,97.04,0,1.80,3067.13,0
21,Frecuente,Sur,Sucursal,14,6,87.59,0,8.50,1536.78,0
22,Frecuente,Centro,Digital,70,6,104.55,0,1.80,2891.00,0
23,Frecuente,Remota,Digital,52,6,63.72,1,1.80,1762.04,0
24,Premium,Remota,Digital,38,9,136.68,0,1.80,5059.36,0
25,Inicial,Remota,Digital,68,4,96.04,1,1.80,1439.44,0
26,Inicial,Norte,Sucursal,6,2,26.69,0,8.50,198.48,0
27,Inicial,Sur,Digital,51,3,70.33,0,1.80,977.45,1
28,Premium,Centro,Digital,28,10,122.21,0,1.80,3797.73,0
29,Frecuente,Norte,Digital,70,5,40.39,1,1.80,448.35,0
30,Premium,Centro,Telefónico,18,8,130.43,2,4.20,4309.56,0
31,Inicial,Sur,Digital,82,3,22.27,0,1.80,155.81,0
32,Inicial,Centro,Digital,17,6,32.82,0,1.80,812.65,0
33,Inicial,Centro,Digital,20,0,32.14,0,1.80,20.00,0
34,Inicial,Sur,Digital,32,1,33.82,0,1.80,123.64,0
35,Premium,Norte,Telefónico,31,12,85.67,1,4.20,2327.86,0
36,Frecuente,Norte,Digital,14,2,67.01,0,1.80,458.86,0
37,Frecuente,Sur,Telefónico,30,6,106.75,0,4.20,1524.65,0
38,Premium,Remota,Sucursal,69,9,132.23,0,8.50,5331.81,0
39,Frecuente,Centro,Digital,56,4,106.78,0,1.80,1068.06,0
40,Inicial,Remota,Digital,69,4,22.98,0,1.80,378.44,0
41,Premium,Sur,Sucursal,16,8,115.08,0,8.50,2988.66,0
42,Frecuente,Remota,Sucursal,23,7,56.81,0,8.50,1441.40,1
43,Frecuente,Sur,Digital,57,4,46.36,1,1.80,762.87,0
44,Premium,Sur,Digital,31,4,127.02,0,1.80,1380.80,1
45,Frecuente,Centro,Digital,81,3,54.51,0,1.80,422.52,0
46,Inicial,Remota,Digital,67,3,15.11,0,1.80,207.91,0
47,Frecuente,Sur,Telefónico,57,3,47.13,0,4.20,512.43,0
48,Frecuente,Remota,Digital,32,5,82.35,0,1.80,1738.40,0
49,Frecuente,Centro,Sucursal,31,5,92.87,0,8.50,1300.78,0
50,Inicial,Remota,Digital,70,1,36.59,0,1.80,159.74,0
51,Premium,Centro,Telefónico,74,8,136.78,0,4.20,4835.48,0
52,Premium,Norte,Digital,35,11,129.64,0,1.80,4383.62,0
53,Inicial,Remota,Telefónico,80,0,33.87,0,4.20,20.00,0
54,Inicial,Centro,Digital,42,0,50.09,1,1.80,20.00,0
55,Frecuente,Sur,Telefónico,61,8,75.63,1,4.20,2353.85,0
56,Inicial,Norte,Digital,3,1,32.19,0,1.80,110.44,1
57,Frecuente,Sur,Sucursal,22,1,33.84,0,8.50,88.86,0
58,Frecuente,Remota,Digital,26,2,104.65,1,1.80,801.80,1
59,Premium,Centro,Sucursal,73,9,113.30,0,8.50,3584.71,0
