observacion_id,variante,segmento,conversion,margen,tiempo_respuesta_ms
1,A,Recurrente,1,64.18,293
2,B,Alto valor,0,0.00,633
3,B,Recurrente,0,0.00,465
4,B,Recurrente,0,0.00,434
5,B,Nuevo,0,0.00,468
6,A,Alto valor,0,0.00,494
7,A,Alto valor,0,0.00,456
8,A,Alto valor,0,0.00,399
9,B,Recurrente,0,0.00,568
10,B,Recurrente,0,0.00,540
11,A,Nuevo,0,0.00,452
12,A,Nuevo,0,0.00,451
13,B,Alto valor,0,0.00,400
14,A,Nuevo,0,0.00,398
15,A,Nuevo,0,0.00,309
16,B,Alto valor,0,0.00,456
17,A,Recurrente,1,40.36,472
18,A,Alto valor,0,0.00,466
19,B,Recurrente,0,0.00,428
20,B,Recurrente,0,0.00,456
21,A,Alto valor,0,0.00,473
22,B,Recurrente,0,0.00,478
23,B,Alto valor,0,0.00,393
24,A,Recurrente,0,0.00,378
25,A,Recurrente,0,0.00,325
26,A,Recurrente,0,0.00,458
27,B,Nuevo,1,31.69,426
28,B,Alto valor,0,0.00,519
29,A,Nuevo,0,0.00,409
30,B,Recurrente,0,0.00,481
31,B,Alto valor,1,90.24,533
32,A,Alto valor,0,0.00,499
33,A,Nuevo,0,0.00,245
34,B,Recurrente,0,0.00,379
35,B,Recurrente,1,57.45,498
36,A,Alto valor,0,0.00,400
37,A,Nuevo,0,0.00,387
38,A,Nuevo,0,0.00,455
39,B,Nuevo,0,0.00,412
40,A,Nuevo,0,0.00,432
41,B,Recurrente,0,0.00,586
42,B,Alto valor,1,67.72,511
43,B,Recurrente,1,50.70,558
44,B,Recurrente,0,0.00,575
45,B,Recurrente,1,43.21,487
46,B,Nuevo,0,0.00,385
47,B,Alto valor,0,0.00,421
48,A,Nuevo,0,0.00,403
49,B,Recurrente,0,0.00,620
50,A,Alto valor,0,0.00,391
51,A,Recurrente,0,0.00,585
52,A,Nuevo,0,0.00,303
53,A,Recurrente,0,0.00,375
54,B,Alto valor,1,90.48,455
55,B,Nuevo,0,0.00,421
56,B,Recurrente,0,0.00,579
57,B,Alto valor,0,0.00,629
58,B,Nuevo,0,0.00,552
59,A,Recurrente,0,0.00,383
60,B,Alto valor,0,0.00,538
61,B,Nuevo,0,0.00,408
62,A,Recurrente,0,0.00,545
63,A,Nuevo,0,0.00,370
64,B,Nuevo,1,13.46,316
65,B,Recurrente,0,0.00,350
66,A,Nuevo,1,47.52,465
67,B,Alto valor,0,0.00,485
68,A,Recurrente,0,0.00,318
69,A,Alto valor,0,0.00,528
70,B,Nuevo,0,0.00,433
71,A,Nuevo,0,0.00,493
72,A,Alto valor,1,62.85,371
73,B,Recurrente,1,49.65,457
74,B,Alto valor,0,0.00,481
75,A,Alto valor,0,0.00,311
76,A,Recurrente,0,0.00,457
77,B,Alto valor,0,0.00,544
78,A,Alto valor,0,0.00,440
79,A,Nuevo,0,0.00,480
80,A,Alto valor,1,83.60,466
81,A,Alto valor,0,0.00,497
82,B,Nuevo,0,0.00,463
83,B,Recurrente,1,49.00,484
84,A,Nuevo,0,0.00,321
85,A,Recurrente,0,0.00,529
86,A,Nuevo,0,0.00,499
87,B,Nuevo,0,0.00,538
88,A,Alto valor,1,82.88,369
89,B,Recurrente,1,34.77,468
90,A,Recurrente,0,0.00,399
91,B,Alto valor,0,0.00,599
92,A,Alto valor,0,0.00,428
93,B,Nuevo,0,0.00,491
94,A,Alto valor,0,0.00,408
95,A,Recurrente,0,0.00,377
96,B,Nuevo,0,0.00,528
97,B,Recurrente,0,0.00,455
98,A,Recurrente,0,0.00,346
99,B,Recurrente,0,0.00,528
100,B,Nuevo,0,0.00,540
101,A,Recurrente,0,0.00,412
102,A,Nuevo,0,0.00,538
103,A,Nuevo,0,0.00,579
104,A,Alto valor,0,0.00,436
105,A,Nuevo,0,0.00,503
106,A,Recurrente,0,0.00,379
107,B,Recurrente,0,0.00,521
108,B,Alto valor,0,0.00,545
109,A,Nuevo,0,0.00,396
110,A,Recurrente,0,0.00,491
111,A,Alto valor,1,87.77,561
112,A,Recurrente,0,0.00,475
113,A,Nuevo,0,0.00,440
114,B,Nuevo,0,0.00,423
115,B,Nuevo,0,0.00,538
116,B,Nuevo,0,0.00,517
117,B,Recurrente,0,0.00,667
118,A,Recurrente,0,0.00,418
119,B,Recurrente,1,45.23,479
120,A,Nuevo,0,0.00,343
121,B,Alto valor,0,0.00,513
122,B,Nuevo,0,0.00,495
123,A,Alto valor,0,0.00,279
124,B,Recurrente,0,0.00,444
125,B,Recurrente,0,0.00,473
126,A,Recurrente,1,54.83,451
127,B,Nuevo,0,0.00,583
128,A,Nuevo,1,12.90,371
129,B,Recurrente,1,45.94,436
130,B,Alto valor,1,77.58,372
131,A,Alto valor,0,0.00,401
132,A,Alto valor,1,82.76,408
133,A,Alto valor,1,67.37,372
134,A,Recurrente,0,0.00,493
135,A,Alto valor,1,94.28,463
136,B,Nuevo,0,0.00,559
137,B,Recurrente,0,0.00,483
138,B,Nuevo,0,0.00,471
139,A,Recurrente,0,0.00,541
140,A,Alto valor,0,0.00,348
141,A,Recurrente,0,0.00,487
142,B,Recurrente,0,0.00,484
143,B,Nuevo,0,0.00,410
144,B,Nuevo,0,0.00,402
145,A,Alto valor,0,0.00,406
146,A,Alto valor,0,0.00,378
147,A,Alto valor,0,0.00,342
148,A,Recurrente,0,0.00,411
149,B,Nuevo,0,0.00,470
150,A,Alto valor,0,0.00,296
151,A,Recurrente,0,0.00,469
152,A,Recurrente,0,0.00,369
153,A,Nuevo,0,0.00,463
154,B,Nuevo,0,0.00,501
155,A,Recurrente,0,0.00,436
156,A,Nuevo,0,0.00,481
157,B,Alto valor,0,0.00,459
158,B,Alto valor,0,0.00,591
159,A,Alto valor,1,80.22,356
160,A,Alto valor,0,0.00,445
161,B,Alto valor,0,0.00,439
162,A,Alto valor,0,0.00,448
163,A,Alto valor,0,0.00,439
164,A,Alto valor,0,0.00,493
165,B,Recurrente,0,0.00,410
166,A,Nuevo,0,0.00,459
167,B,Alto valor,0,0.00,448
168,B,Recurrente,0,0.00,520
169,A,Nuevo,1,43.35,437
170,B,Nuevo,0,0.00,455
171,B,Alto valor,0,0.00,485
172,A,Alto valor,0,0.00,372
173,B,Alto valor,0,0.00,393
174,B,Recurrente,0,0.00,676
175,A,Alto valor,0,0.00,478
176,B,Recurrente,1,51.87,495
177,A,Alto valor,0,0.00,242
178,A,Nuevo,0,0.00,345
179,B,Nuevo,0,0.00,496
180,B,Nuevo,1,27.57,591
181,B,Recurrente,0,0.00,338
182,B,Recurrente,0,0.00,497
183,A,Recurrente,0,0.00,440
184,B,Nuevo,0,0.00,568
185,B,Alto valor,0,0.00,429
186,A,Nuevo,0,0.00,375
187,A,Nuevo,0,0.00,397
188,A,Recurrente,0,0.00,477
189,B,Recurrente,0,0.00,491
190,A,Alto valor,1,72.80,475
191,B,Recurrente,0,0.00,463
192,B,Alto valor,0,0.00,440
193,A,Recurrente,0,0.00,290
194,B,Alto valor,0,0.00,596
195,B,Alto valor,1,75.85,467
196,A,Recurrente,0,0.00,602
197,A,Nuevo,0,0.00,443
198,A,Nuevo,0,0.00,359
199,A,Recurrente,0,0.00,501
200,A,Nuevo,0,0.00,398
201,A,Recurrente,0,0.00,461
202,A,Recurrente,0,0.00,621
203,B,Nuevo,0,0.00,546
204,A,Alto valor,0,0.00,378
205,B,Recurrente,0,0.00,508
206,A,Recurrente,0,0.00,365
207,B,Alto valor,0,0.00,438
208,B,Recurrente,0,0.00,578
209,A,Recurrente,1,53.18,374
210,A,Recurrente,0,0.00,392
211,B,Alto valor,0,0.00,562
212,A,Recurrente,0,0.00,468
213,A,Nuevo,0,0.00,459
214,B,Recurrente,0,0.00,417
215,B,Recurrente,1,44.19,521
216,B,Nuevo,0,0.00,462
217,B,Alto valor,0,0.00,629
218,A,Nuevo,1,40.28,377
219,B,Alto valor,0,0.00,567
220,A,Nuevo,0,0.00,477
221,A,Recurrente,0,0.00,418
222,A,Recurrente,1,41.79,300
223,A,Alto valor,0,0.00,486
224,A,Nuevo,0,0.00,552
225,A,Recurrente,0,0.00,512
226,B,Alto valor,1,51.48,428
227,A,Recurrente,0,0.00,415
228,B,Alto valor,0,0.00,406
229,A,Recurrente,0,0.00,423
230,B,Recurrente,0,0.00,445
231,B,Alto valor,1,90.11,641
232,B,Nuevo,0,0.00,416
233,A,Alto valor,0,0.00,343
234,A,Alto valor,0,0.00,471
235,A,Nuevo,0,0.00,533
236,A,Recurrente,1,54.14,562
237,A,Alto valor,1,94.22,468
238,A,Alto valor,0,0.00,403
239,A,Nuevo,0,0.00,549
240,B,Recurrente,0,0.00,443
241,A,Alto valor,0,0.00,588
242,B,Nuevo,0,0.00,506
243,A,Alto valor,0,0.00,419
244,B,Recurrente,0,0.00,493
245,B,Nuevo,0,0.00,607
246,B,Recurrente,0,0.00,449
247,A,Recurrente,0,0.00,446
248,B,Alto valor,1,71.05,410
249,A,Alto valor,0,0.00,531
250,B,Recurrente,0,0.00,490
251,A,Recurrente,0,0.00,397
252,A,Alto valor,0,0.00,346
253,A,Recurrente,0,0.00,521
254,B,Recurrente,1,55.70,399
255,B,Nuevo,1,44.40,560
256,A,Alto valor,0,0.00,385
257,B,Nuevo,0,0.00,414
258,B,Nuevo,0,0.00,454
259,B,Alto valor,0,0.00,495
260,A,Alto valor,1,93.29,563
261,A,Alto valor,0,0.00,409
262,B,Nuevo,1,31.15,651
263,B,Alto valor,0,0.00,513
264,B,Nuevo,0,0.00,413
265,A,Alto valor,0,0.00,437
266,B,Recurrente,0,0.00,517
267,B,Alto valor,0,0.00,439
268,A,Alto valor,0,0.00,363
269,A,Recurrente,0,0.00,282
270,A,Nuevo,0,0.00,546
271,B,Alto valor,0,0.00,506
272,A,Nuevo,0,0.00,263
273,B,Recurrente,0,0.00,466
274,B,Nuevo,0,0.00,482
275,B,Alto valor,0,0.00,524
276,A,Recurrente,0,0.00,460
277,B,Nuevo,0,0.00,496
278,B,Recurrente,0,0.00,448
279,A,Recurrente,1,37.40,382
280,A,Nuevo,0,0.00,411
281,B,Alto valor,0,0.00,465
282,B,Recurrente,0,0.00,479
283,A,Alto valor,0,0.00,396
284,A,Alto valor,0,0.00,401
285,B,Alto valor,0,0.00,605
286,A,Recurrente,1,40.83,408
287,A,Nuevo,0,0.00,217
288,B,Alto valor,0,0.00,440
289,B,Recurrente,0,0.00,492
290,A,Alto valor,0,0.00,452
291,B,Recurrente,0,0.00,488
292,B,Recurrente,0,0.00,459
293,B,Alto valor,1,95.37,537
294,A,Alto valor,0,0.00,531
295,A,Nuevo,0,0.00,467
296,A,Recurrente,0,0.00,441
297,A,Recurrente,0,0.00,554
298,B,Alto valor,0,0.00,578
299,A,Recurrente,0,0.00,430
300,A,Nuevo,0,0.00,535
301,A,Nuevo,0,0.00,463
302,B,Alto valor,0,0.00,594
303,B,Nuevo,0,0.00,643
304,A,Alto valor,1,72.05,405
305,A,Recurrente,1,58.33,478
306,A,Alto valor,1,74.85,320
307,B,Nuevo,0,0.00,574
308,A,Recurrente,1,65.30,483
309,A,Alto valor,0,0.00,420
310,A,Nuevo,0,0.00,300
311,B,Alto valor,1,83.93,523
312,A,Alto valor,0,0.00,381
313,B,Alto valor,1,94.86,518
314,A,Alto valor,0,0.00,447
315,B,Alto valor,0,0.00,369
316,A,Recurrente,0,0.00,485
317,A,Nuevo,0,0.00,419
318,A,Nuevo,0,0.00,451
319,B,Recurrente,0,0.00,558
320,A,Alto valor,0,0.00,496
321,A,Alto valor,1,97.73,360
322,B,Recurrente,0,0.00,602
323,A,Recurrente,0,0.00,507
324,B,Alto valor,0,0.00,622
325,A,Recurrente,0,0.00,505
326,B,Recurrente,0,0.00,544
327,B,Alto valor,0,0.00,479
328,A,Alto valor,0,0.00,373
329,B,Nuevo,0,0.00,476
330,A,Recurrente,0,0.00,448
331,B,Recurrente,0,0.00,443
332,B,Recurrente,0,0.00,552
333,B,Nuevo,0,0.00,485
334,B,Recurrente,0,0.00,515
335,A,Recurrente,0,0.00,342
336,A,Nuevo,0,0.00,428
337,A,Recurrente,1,48.35,429
338,B,Recurrente,0,0.00,520
339,A,Nuevo,0,0.00,448
340,B,Nuevo,0,0.00,466
341,A,Alto valor,1,86.99,430
342,B,Recurrente,0,0.00,338
343,B,Nuevo,1,40.91,397
344,A,Nuevo,1,34.39,463
345,A,Nuevo,0,0.00,540
346,A,Alto valor,0,0.00,353
347,B,Recurrente,1,48.80,465
348,B,Nuevo,0,0.00,516
349,A,Alto valor,0,0.00,334
350,A,Alto valor,0,0.00,434
351,B,Alto valor,0,0.00,471
352,B,Alto valor,0,0.00,536
353,B,Nuevo,0,0.00,534
354,A,Recurrente,1,29.75,402
355,A,Nuevo,0,0.00,519
356,A,Alto valor,0,0.00,374
357,B,Alto valor,0,0.00,516
358,B,Recurrente,0,0.00,453
359,A,Recurrente,0,0.00,372
360,A,Nuevo,0,0.00,346
361,B,Alto valor,0,0.00,493
362,A,Nuevo,0,0.00,400
363,A,Recurrente,0,0.00,221
364,A,Nuevo,1,16.35,434
365,A,Nuevo,0,0.00,432
366,B,Nuevo,1,30.74,566
367,B,Recurrente,0,0.00,552
368,B,Nuevo,0,0.00,412
369,A,Nuevo,0,0.00,568
370,B,Alto valor,0,0.00,448
371,A,Alto valor,1,82.61,537
372,A,Alto valor,0,0.00,426
373,B,Nuevo,1,21.40,528
374,B,Nuevo,0,0.00,325
375,A,Recurrente,0,0.00,362
376,A,Alto valor,0,0.00,314
377,B,Alto valor,0,0.00,431
378,B,Nuevo,0,0.00,607
379,A,Nuevo,0,0.00,486
