orden_id,producto,turno,horas_maquina,materia_prima,margen,demanda,retraso_horas
1,B,Noche,1.32,1.94,29.81,41,2.43
2,C,Noche,2.73,1.62,54.60,32,3.76
3,B,Tarde,1.29,2.06,31.99,70,2.68
4,B,Mañana,1.22,2.10,32.76,52,0.04
5,C,Tarde,2.73,1.57,49.40,28,1.30
6,C,Mañana,2.81,1.66,54.08,40,2.78
7,C,Noche,2.95,1.65,53.60,19,2.61
8,B,Noche,1.10,1.97,28.09,40,1.35
9,C,Noche,2.90,1.59,49.13,24,2.02
10,B,Mañana,1.05,1.96,27.90,54,0.00
11,B,Noche,1.19,2.03,31.62,41,1.47
12,C,Noche,2.70,1.65,50.24,25,2.41
13,C,Mañana,2.88,1.61,54.73,21,2.15
14,A,Noche,1.91,0.96,39.55,31,5.59
15,A,Tarde,1.86,1.08,42.67,47,3.55
16,A,Tarde,2.11,1.07,38.25,42,1.49
17,A,Mañana,2.08,1.02,37.75,43,0.66
18,C,Noche,2.80,1.53,50.26,37,1.20
19,B,Noche,1.35,1.98,28.26,56,3.06
20,B,Tarde,1.20,2.09,27.10,41,2.07
21,A,Tarde,1.96,0.96,37.39,44,0.27
22,A,Noche,1.88,1.03,39.34,14,2.76
23,B,Noche,1.24,1.96,27.84,48,4.03
24,A,Noche,1.90,1.04,41.57,47,3.11
25,C,Noche,2.74,1.62,53.94,20,2.55
26,C,Mañana,2.87,1.66,50.09,27,0.50
27,A,Mañana,2.00,0.96,40.75,39,0.36
28,B,Mañana,1.28,1.97,32.33,63,1.65
29,B,Mañana,1.21,2.05,31.34,49,1.60
30,B,Mañana,1.08,2.10,27.67,25,1.65
31,C,Tarde,2.69,1.62,52.82,21,2.56
32,B,Mañana,1.15,2.01,32.74,46,0.41
33,B,Noche,1.30,2.01,27.75,33,1.85
34,A,Mañana,2.05,1.05,41.30,31,3.03
35,A,Mañana,1.93,1.05,38.81,31,0.00
36,C,Noche,2.81,1.70,50.60,30,1.31
37,B,Noche,1.09,2.05,32.10,47,0.00
38,C,Mañana,2.89,1.70,49.09,14,0.00
39,A,Mañana,1.97,0.90,39.88,37,0.25
40,C,Tarde,2.79,1.54,52.73,21,0.79
41,B,Noche,1.28,2.08,29.02,52,1.38
42,B,Noche,1.19,1.92,32.14,48,0.93
43,B,Tarde,1.24,2.09,27.76,49,2.64
44,A,Mañana,2.02,0.96,42.24,30,2.50
45,A,Noche,1.90,1.06,42.31,29,2.04
46,C,Mañana,2.88,1.54,53.47,11,0.58
47,C,Noche,2.81,1.66,51.18,27,5.71
48,C,Mañana,2.76,1.52,49.99,17,0.00
49,C,Mañana,2.81,1.69,51.54,25,1.45
50,B,Tarde,1.17,2.00,29.53,41,1.19
51,C,Tarde,2.65,1.55,52.33,18,4.15
52,C,Noche,2.94,1.51,51.46,34,4.29
53,A,Tarde,2.09,1.03,39.35,39,3.67
54,A,Mañana,2.14,0.96,42.36,43,2.72
55,C,Mañana,2.71,1.53,50.65,19,2.89
56,C,Tarde,2.81,1.65,52.59,25,2.60
57,A,Noche,2.07,0.99,37.42,51,1.67
58,B,Tarde,1.33,1.91,32.03,47,3.11
59,B,Noche,1.10,2.04,32.19,41,2.20
60,C,Mañana,2.68,1.65,54.76,28,0.16
61,C,Tarde,2.90,1.69,51.53,14,0.00
62,B,Noche,1.27,2.08,30.84,42,4.06
63,B,Tarde,1.07,1.92,31.84,48,2.75
64,C,Tarde,2.85,1.52,53.69,22,0.00
65,C,Tarde,2.83,1.67,53.01,28,1.19
66,C,Mañana,2.82,1.52,53.58,17,2.72
67,C,Tarde,2.89,1.64,49.24,19,0.00
68,B,Noche,1.31,1.91,29.39,52,0.00
69,B,Noche,1.32,1.94,28.08,43,1.12
70,B,Tarde,1.29,2.05,32.10,47,3.77
71,B,Tarde,1.34,1.95,29.68,56,1.49
72,C,Tarde,2.88,1.53,52.35,32,0.00
73,C,Tarde,2.88,1.66,50.03,21,1.00
74,B,Noche,1.21,2.06,32.80,45,3.27
75,C,Mañana,2.84,1.56,51.98,28,2.36
