fecha,ventas,promocion,feriado,inversion_marketing,indice_precio
2018-01-01,130.0,0,0,16.80,99.87
2018-02-01,141.0,0,0,19.38,99.56
2018-03-01,155.7,0,0,15.62,98.98
2018-04-01,167.5,0,0,16.96,99.56
2018-05-01,190.5,1,0,24.34,100.55
2018-06-01,146.5,0,0,18.06,101.50
2018-07-01,145.6,0,0,16.12,103.27
2018-08-01,131.1,0,0,19.63,103.16
2018-09-01,128.5,0,0,16.34,102.67
2018-10-01,122.0,0,0,20.06,104.28
2018-11-01,147.6,1,0,20.99,104.20
2018-12-01,168.7,0,1,20.00,104.05
2019-01-01,157.5,0,0,16.80,105.03
2019-02-01,156.1,0,0,19.44,105.37
2019-03-01,169.5,0,0,18.47,106.35
2019-04-01,183.2,0,0,16.94,106.96
2019-05-01,213.6,1,0,22.31,106.46
2019-06-01,161.9,0,0,16.29,106.74
2019-07-01,170.5,0,0,17.70,107.55
2019-08-01,155.4,0,0,18.98,109.15
2019-09-01,141.6,0,0,17.42,108.81
2019-10-01,149.4,0,0,16.56,108.93
2019-11-01,155.8,1,0,21.80,109.54
2019-12-01,191.0,0,1,20.48,108.97
2020-01-01,170.1,0,0,16.35,110.41
2020-02-01,188.0,0,0,19.76,110.79
2020-03-01,191.7,0,0,19.83,110.97
2020-04-01,207.6,0,0,18.13,113.31
2020-05-01,210.6,1,0,20.57,113.64
2020-06-01,190.8,0,0,17.05,113.21
2020-07-01,167.7,0,0,19.39,113.92
2020-08-01,170.1,0,0,17.28,111.39
2020-09-01,150.3,0,0,20.03,115.64
2020-10-01,159.0,0,0,19.42,114.00
2020-11-01,177.7,1,0,21.51,114.68
2020-12-01,201.1,0,1,15.99,115.54
2021-01-01,182.5,0,0,18.27,114.27
2021-02-01,198.3,0,0,19.86,117.05
2021-03-01,212.3,0,0,18.33,117.11
2021-04-01,202.5,0,0,19.20,116.91
2021-05-01,223.3,1,0,21.73,117.51
2021-06-01,195.3,0,0,15.70,117.27
2021-07-01,203.8,0,0,15.96,119.73
2021-08-01,177.0,0,0,15.82,120.55
2021-09-01,184.4,0,0,15.80,120.02
2021-10-01,177.7,0,0,18.41,118.80
2021-11-01,211.9,1,0,24.41,119.99
2021-12-01,217.9,0,1,16.48,121.52
2022-01-01,199.1,0,0,16.49,120.79
2022-02-01,210.0,0,0,17.94,120.61
2022-03-01,234.3,0,0,19.81,124.41
2022-04-01,240.8,0,0,19.39,123.69
2022-05-01,248.8,1,0,23.57,123.36
2022-06-01,215.8,0,0,19.27,122.73
2022-07-01,208.3,0,0,16.38,122.86
2022-08-01,215.6,0,0,20.26,124.01
2022-09-01,201.6,0,0,16.75,124.96
2022-10-01,198.5,0,0,17.04,122.58
2022-11-01,220.8,1,0,25.23,125.05
2022-12-01,236.7,0,1,20.37,125.85
2023-01-01,219.1,0,0,15.83,126.07
2023-02-01,236.0,0,0,20.13,125.85
2023-03-01,251.5,0,0,18.19,128.76
2023-04-01,253.7,0,0,19.31,128.67
2023-05-01,263.7,1,0,22.10,128.25
2023-06-01,229.8,0,0,17.00,128.04
2023-07-01,235.3,0,0,16.27,130.84
2023-08-01,210.7,0,0,19.43,131.14
2023-09-01,203.9,0,0,16.29,133.86
2023-10-01,197.8,0,0,18.77,131.55
2023-11-01,231.2,1,0,21.85,132.74
2023-12-01,255.9,0,1,19.78,131.73
2024-01-01,243.7,0,0,17.17,131.19
2024-02-01,250.6,0,0,17.75,131.78
2024-03-01,249.6,0,0,17.59,133.39
2024-04-01,273.3,0,0,20.34,132.43
2024-05-01,282.4,1,0,25.37,134.23
2024-06-01,264.8,0,0,19.02,135.14
2024-07-01,247.2,0,0,16.97,134.36
2024-08-01,243.1,0,0,19.45,134.85
2024-09-01,234.2,0,0,16.50,136.31
2024-10-01,230.5,0,0,19.78,137.15
2024-11-01,252.9,1,0,22.13,135.00
2024-12-01,267.1,0,1,17.85,137.71
2025-01-01,238.5,0,0,18.80,136.80
2025-02-01,273.7,0,0,17.94,137.94
2025-03-01,279.3,0,0,17.38,140.08
2025-04-01,288.9,0,0,16.88,137.29
2025-05-01,305.8,1,0,21.06,140.93
2025-06-01,262.2,0,0,17.12,140.25
2025-07-01,263.8,0,0,16.26,141.09
2025-08-01,252.4,0,0,16.50,141.72
2025-09-01,239.0,0,0,18.36,141.47
2025-10-01,244.1,0,0,18.16,141.79
2025-11-01,275.1,1,0,24.36,144.22
2025-12-01,297.9,0,1,19.06,141.83
